,user,best_score_r2,best_params
0,1,0.1431073841733464,"{'hidden_layer_sizes': (150, 150)}"
1,2,0.030900347810693563,"{'hidden_layer_sizes': (256, 256, 256)}"
2,3,0.1540874176681315,"{'hidden_layer_sizes': (256, 256)}"
3,4,0.3088199573548352,"{'hidden_layer_sizes': (150, 150)}"
4,5,0.2866758112229566,"{'hidden_layer_sizes': (150, 150)}"
5,6,0.26715753210227056,"{'hidden_layer_sizes': (150, 150)}"
6,7,-0.014513989806343303,"{'hidden_layer_sizes': (256, 256)}"
7,8,-0.037898082545222554,"{'hidden_layer_sizes': (150, 150)}"
8,9,0.07628982073296482,"{'hidden_layer_sizes': (150, 150)}"
9,10,0.288556189157736,"{'hidden_layer_sizes': (256, 256, 256)}"
10,11,0.07176472366897987,"{'hidden_layer_sizes': (150, 150)}"
11,12,0.007624541445109952,"{'hidden_layer_sizes': (256, 256)}"
