,user,best_score_r2,best_params
0,1,-0.0033126256963124565,"{'hidden_layer_sizes': (256, 256)}"
1,2,0.2145677381577038,"{'hidden_layer_sizes': (256, 256)}"
2,3,0.1722556770002158,"{'hidden_layer_sizes': (256, 256)}"
0,4,0.3496915122135218,"{'hidden_layer_sizes': (256, 256)}"
1,5,0.23543360272288286,"{'hidden_layer_sizes': (150, 150)}"
2,6,0.2675446264924093,"{'hidden_layer_sizes': (150, 150)}"
3,7,0.1635192386950879,"{'hidden_layer_sizes': (256, 256)}"
4,8,0.3301637881699983,"{'hidden_layer_sizes': (256, 256)}"
5,9,0.2632673565906732,"{'hidden_layer_sizes': (150, 150)}"
6,10,0.40965744761224904,"{'hidden_layer_sizes': (150, 150)}"
7,11,0.28080567526612554,"{'hidden_layer_sizes': (150, 150)}"
8,12,0.12201865468193329,"{'hidden_layer_sizes': (150, 150)}"
