,user,best_score_r2,best_params
0,1,0.5385053434373211,"{'hidden_layer_sizes': (150, 150)}"
1,2,0.2827596730216447,"{'hidden_layer_sizes': (256, 256)}"
2,3,0.18986294037637444,"{'hidden_layer_sizes': (256, 256)}"
3,4,0.553438601199253,"{'hidden_layer_sizes': (150, 150)}"
4,5,0.6236992930926837,"{'hidden_layer_sizes': (150, 150)}"
5,6,0.5395756673621818,"{'hidden_layer_sizes': (150, 150)}"
6,7,0.3608429599370047,"{'hidden_layer_sizes': (150, 150)}"
7,8,0.5071888931404391,"{'hidden_layer_sizes': (256, 256)}"
8,9,0.4915178918149578,"{'hidden_layer_sizes': (150, 150)}"
9,10,0.6021762556428417,"{'hidden_layer_sizes': (256, 256)}"
10,11,0.4824987746832115,"{'hidden_layer_sizes': (150, 150)}"
11,12,0.22037007975307743,"{'hidden_layer_sizes': (150, 150)}"
