,user,best_score_r2,best_params
0,1,0.6112065117570624,"{'hidden_layer_sizes': (150, 150)}"
1,2,0.42185303197698126,"{'hidden_layer_sizes': (150, 150)}"
2,3,0.39334381717979827,"{'hidden_layer_sizes': (150, 150)}"
3,4,0.5986839936476032,"{'hidden_layer_sizes': (150, 150)}"
4,5,0.6834578027147392,"{'hidden_layer_sizes': (150, 150)}"
5,6,0.5309620330217609,"{'hidden_layer_sizes': (150, 150)}"
6,7,0.2848233915200637,"{'hidden_layer_sizes': (256, 256, 256)}"
7,8,0.5396777384370878,"{'hidden_layer_sizes': (256, 256)}"
8,9,0.5796030871692854,"{'hidden_layer_sizes': (150, 150)}"
9,10,0.6548898312228556,"{'hidden_layer_sizes': (256, 256)}"
10,11,0.541313005451837,"{'hidden_layer_sizes': (256, 256, 256)}"
11,12,0.2876574582686651,"{'hidden_layer_sizes': (256, 256, 256)}"
